,Laptop,Current Price,Rating,Actual Price,Discount
504,ASUS TUF Gaming F15,"₹49,990",4.3,"₹75,990",34% off
505,CHUWI Intel Celeron Dual Core 11th Gen N4020,"₹17,990",3.7,"₹34,990",48% off
506,DELL Inspiron Intel Core i3 12th Gen 1215U,"₹64,499",4,"₹79,999",19% off
507,ASUS Vivobook Go 15 Intel Celeron Dual Core N4020,"₹19,990",4.1,"₹33,990",41% off
508,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4,"₹31,990",4.3,"₹49,990",36% off
509,HP 14s Intel Core i3 11th Gen 1115G4,"₹34,990",4.3,"₹49,509",29% off
510,Acer Extensa Intel Core i3 N305,"₹26,490",4.1,"₹42,999",38% off
511,CHUWI Intel Celeron Quad Core 12th Gen N100,"₹19,990",3.4,"₹34,990",42% off
512,Lenovo Intel Core i5 11th Gen 1135G7,"₹41,066",4.1,"₹66,470",38% off
513,HP 255G9 AMD Ryzen 3 Dual Core AMD Ryzen3 3250,"₹24,990",4.2,"₹44,911",44% off
514,AXL Intel Celeron Dual Core 9th Gen,"₹16,980",4,"₹33,990",50% off
515,ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS,"₹74,990",4.3,"₹1,17,990",36% off
516,SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U,"₹44,990",4.3,"₹82,990",45% off
517,HP 15s Intel Core i3 12th Gen 1215U,"₹37,527",4.2,"₹56,261",33% off
518,DELL Intel Core i3 12th Gen 1215U,"₹36,290",4.2,"₹50,724",28% off
519,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U,"₹31,990",4.1,"₹47,490",32% off
520,Acer TravelMate P2 Intel Core i7 11th Gen 1165G7,"₹47,990",3.6,"₹99,000",51% off
521,ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS,"₹49,990",4.1,"₹82,990",39% off
522,Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U,"₹28,990",4.2,"₹43,790",33% off
523,ASUS Vivobook Go 14 (2023) Intel Intel Core i3 12th Gen N305,"₹35,990",4,"₹50,990",29% off
524,ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS,"₹67,990",4.2,"₹94,990",28% off
525,HP AMD Ryzen 3 Quad Core 5300U,"₹35,960",4.2,"₹47,142",23% off
526,walker Intel Celeron Dual Core N4020,"₹12,990",3.8,"₹30,000",56% off
527,DELL Intel Core i5 12th Gen 1235U,"₹46,990",4,"₹72,180",34% off
528,ASUS TUF Gaming F15,"₹49,990",4.3,"₹75,990",34% off
529,CHUWI Intel Celeron Dual Core 11th Gen N4020,"₹17,990",3.7,"₹34,990",48% off
530,DELL Inspiron Intel Core i3 12th Gen 1215U,"₹64,499",4,"₹79,999",19% off
531,ASUS Vivobook Go 15 Intel Celeron Dual Core N4020,"₹19,990",4.1,"₹33,990",41% off
532,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4,"₹31,990",4.3,"₹49,990",36% off
533,HP 14s Intel Core i3 11th Gen 1115G4,"₹34,990",4.3,"₹49,509",29% off
534,Acer Extensa Intel Core i3 N305,"₹26,490",4.1,"₹42,999",38% off
535,CHUWI Intel Celeron Quad Core 12th Gen N100,"₹19,990",3.4,"₹34,990",42% off
536,Lenovo Intel Core i5 11th Gen 1135G7,"₹41,066",4.1,"₹66,470",38% off
537,HP 255G9 AMD Ryzen 3 Dual Core AMD Ryzen3 3250,"₹24,990",4.2,"₹44,911",44% off
538,AXL Intel Celeron Dual Core 9th Gen,"₹16,980",4,"₹33,990",50% off
539,ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS,"₹74,990",4.3,"₹1,17,990",36% off
540,SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U,"₹44,990",4.3,"₹82,990",45% off
541,HP 15s Intel Core i3 12th Gen 1215U,"₹37,527",4.2,"₹56,261",33% off
542,DELL Intel Core i3 12th Gen 1215U,"₹36,290",4.2,"₹50,724",28% off
543,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U,"₹31,990",4.1,"₹47,490",32% off
544,Acer TravelMate P2 Intel Core i7 11th Gen 1165G7,"₹47,990",3.6,"₹99,000",51% off
545,ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS,"₹49,990",4.1,"₹82,990",39% off
546,Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U,"₹28,990",4.2,"₹43,790",33% off
547,ASUS Vivobook Go 14 (2023) Intel Intel Core i3 12th Gen N305,"₹35,990",4,"₹50,990",29% off
548,ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS,"₹67,990",4.2,"₹94,990",28% off
549,HP AMD Ryzen 3 Quad Core 5300U,"₹35,960",4.2,"₹47,142",23% off
550,walker Intel Celeron Dual Core N4020,"₹12,990",3.8,"₹30,000",56% off
551,DELL Intel Core i5 12th Gen 1235U,"₹46,990",4,"₹72,180",34% off
552,ASUS TUF Gaming F15,"₹49,990",4.3,"₹75,990",34% off
553,CHUWI Intel Celeron Dual Core 11th Gen N4020,"₹17,990",3.7,"₹34,990",48% off
554,DELL Inspiron Intel Core i3 12th Gen 1215U,"₹64,499",4,"₹79,999",19% off
555,ASUS Vivobook Go 15 Intel Celeron Dual Core N4020,"₹19,990",4.1,"₹33,990",41% off
556,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4,"₹31,990",4.3,"₹49,990",36% off
557,HP 14s Intel Core i3 11th Gen 1115G4,"₹34,990",4.3,"₹49,509",29% off
